name,roll_no,branch,year
Akash Pillai,ECE1046,ECE,1
Ishan Kulkarni,ECE1047,ECE,1
Usha Shetty,ECE1048,ECE,1
Tejas Desai,ECE1049,ECE,1
Uday Agarwal,ECE1050,ECE,1
Yash Gopalakrishnan,ECE1051,ECE,1
Dev Jain,ECE1052,ECE,1
Isha Shetty,ECE1053,ECE,1
Ishita Gandhi,ECE1054,ECE,1
Vineet Ojha,ECE1055,ECE,1
Samira Menon,ECE1056,ECE,1
Rakesh Dixit,ECE1057,ECE,1
Gautam Qadir,ECE1058,ECE,1
Farah Karnik,ECE1059,ECE,1
Tanvi Shetty,ECE1060,ECE,1
Sahil Agarwal,ECE1061,ECE,1
Neel Zhao,ECE1062,ECE,1
Zara Qureshi,ECE1063,ECE,1
Varun Sridhar,ECE1064,ECE,1
Aruna Sen,ECE1065,ECE,1
Arjun Thakur,ECE1066,ECE,1
Shaurya Chandra,ECE1067,ECE,1
Kunal Gandhi,ECE1068,ECE,1
Saanvi Jain,ECE1069,ECE,1
Irfan Joshi,ECE1070,ECE,1
Aditi Lohia,ECE1071,ECE,1
Samira Mahajan,ECE1072,ECE,1
Esha Gupta,ECE1073,ECE,1
Samira Wagh,ECE1074,ECE,1
Riya Zaveri,ECE1075,ECE,1
Varun Trivedi,ECE1076,ECE,1
Mehul Devaraj,ECE1077,ECE,1
Komal Yadav,ECE1078,ECE,1
Mira Iyer,ECE1079,ECE,1
Lakshya Sinha,ECE1080,ECE,1
Diya Nair,ECE1081,ECE,1
Sneha Yadav,ECE1082,ECE,1
Manav Reddy,ECE1083,ECE,1
Janaki Lal,ECE1084,ECE,1
Charan Zhao,ECE1085,ECE,1
Veda Ojha,ECE1086,ECE,1
Nisha Thakur,ECE1087,ECE,1
Bhavin Dutta,ECE1088,ECE,1
Aditi Kapoor,ECE1089,ECE,1
Yamini Verma,ECE1090,ECE,1
Harsha Sinha,ECE1091,ECE,1
Ritul Ojha,ECE1092,ECE,1
Sahil Srivastava,ECE1093,ECE,1
Vihaan Yadav,ECE1094,ECE,1
Naveen Wagh,ECE1095,ECE,1
Naveen Sridhar,ECE1096,ECE,1
Aisha Rao,ECE1097,ECE,1
Aruna Sridhar,ECE1098,ECE,1
Krishna Fernandes,ECE1099,ECE,1
Isha Joshi,ECE1100,ECE,1
Gautam Malhotra,CSM1001,CSM,1
Ira Wagh,CSM1002,CSM,1
Aisha Jain,CSM1003,CSM,1
Janaki Varghese,CSM1004,CSM,1
Ananya Zhao,CSM1005,CSM,1
Ritul Nair,CSM1006,CSM,1
Vani Kashyap,CSM1007,CSM,1
Komal Iyengar,CSM1008,CSM,1
Rudra Basu,CSM1009,CSM,1
Pari Nair,CSM1010,CSM,1
Farah Mahajan,CSM1011,CSM,1
Zubin Hegde,CSM1012,CSM,1
Esha Xavier,CSM1013,CSM,1
Gopal Wagh,CSM1014,CSM,1
Om Hiremath,CSM1015,CSM,1
Samira Uttam,CSM1016,CSM,1
Advait Ghosh,CSM1017,CSM,1
Bharat Hiremath,CSM1018,CSM,1
Ishita Yadav,CSM1019,CSM,1
Gopal Patel,CSM1020,CSM,1
Isha Lal,CSM1021,CSM,1
Aruna Thakur,CSM1022,CSM,1
Mohan Singh,CSM1023,CSM,1
Aisha Ghosh,CSM1024,CSM,1
Riya Bhatt,CSM1025,CSM,1
Naveen Mahajan,CSM1026,CSM,1
Pranav Iyer,CSM1027,CSM,1
Pavan Pandey,CSM1028,CSM,1
Kiara Fernandes,CSM1029,CSM,1
Komal Menon,CSM1030,CSM,1
Akash Uttam,CSM1031,CSM,1
Rakesh Patel,CSM1032,CSM,1
Arjun Khan,CSM1033,CSM,1
Charan Chopra,CSM1034,CSM,1
Ishan Gupta,CSM1035,CSM,1
Veda Shah,CSM1036,CSM,1
Ishita Ojha,CSM1037,CSM,1
Pavan Wagh,CSM1038,CSM,1
Latha Kapoor,CSM1039,CSM,1
Vineet Qadir,CSM1040,CSM,1
Gautam Yadav,CSM1041,CSM,1
Bhavin Shetty,CSM1042,CSM,1
Nisha Mahajan,CSM1043,CSM,1
Meera Pandey,CSM1044,CSM,1
Gopal Kashyap,CSM1045,CSM,1
Vineet Sharma,CSM1046,CSM,1
Krishna Iyer,CSM1047,CSM,1
Sahil Lal,CSM1048,CSM,1
Ananya Agarwal,CSM1049,CSM,1
Avni Rao,CSM1050,CSM,1
Mira Rao,CSM1051,CSM,1
Yamini Mehta,CSM1052,CSM,1
Samira Upadhyay,CSM1053,CSM,1
Veda Qureshi,CSM1054,CSM,1
Mehul Yadav,CSM1055,CSM,1
Krishna Devaraj,CSM1056,CSM,1
Sanya Mahajan,CSM1057,CSM,1
Om Iyengar,CSM1058,CSM,1
Irfan Pillai,CSM1059,CSM,1
Isha Lohia,CSM1060,CSM,1
Sahil Karnik,CSM1061,CSM,1
Tanvi Ojha,CSM1062,CSM,1
Ishan Iyer,CSM1063,CSM,1
Bharat Karnik,CSM1064,CSM,1
Ojas Thakur,CSM1065,CSM,1
Karan Acharya,CSM1066,CSM,1
Varun Shah,CSM1067,CSM,1
Gauri Eapen,CSM1068,CSM,1
Wasim Kapoor,CSM1069,CSM,1
Ojas Ojha,CSM1070,CSM,1
Chaitra Singh,CSM1071,CSM,1
Shreya Uttam,CSM1072,CSM,1
Bharat Sharma,CSM1073,CSM,1
Vihaan Wagh,CSM1074,CSM,1
Pari Malhotra,CSM1075,CSM,1
Zoya Iyengar,CSM1076,CSM,1
Nikhil Ojha,CSM1077,CSM,1
Charan Hiremath,CSM1078,CSM,1
Esha Verma,CSM1079,CSM,1
Ritul Lohia,CSM1080,CSM,1
Divya Gopalakrishnan,CSM1081,CSM,1
Ananya Sridhar,CSM1082,CSM,1
Deepak Iyer,CSM1083,CSM,1
Yamini Bose,CSM1084,CSM,1
Uday Fernandes,CSM1085,CSM,1
Rudra Dutta,CSM1086,CSM,1
Divya Malhotra,CSM1087,CSM,1
Riya Ojha,CSM1088,CSM,1
Pranav Venkatesh,CSM1089,CSM,1
Krishna Upadhyay,CSM1090,CSM,1
Krishna Sridhar,CSM1091,CSM,1
Mehul Bose,CSM1092,CSM,1
Qadir Agarwal,CSM1093,CSM,1
Vani Dixit,CSM1094,CSM,1
Shaurya Lohia,CSM1095,CSM,1
Gopal Reddy,CSM1096,CSM,1
Wasim Saxena,CSM1097,CSM,1
Arnav Chopra,CSM1098,CSM,1
Heena Zhao,CSM1099,CSM,1
Aarav Yadav,CSM1100,CSM,1
Advait Gandhi,EEE1001,EEE,1
Chaitra Hegde,EEE1002,EEE,1
Mira Menon,EEE1003,EEE,1
Nikhil Uttam,EEE1004,EEE,1
Nandini Desai,EEE1005,EEE,1
Mohan Basu,EEE1006,EEE,1
Sanya Srivastava,EEE1007,EEE,1
Shaurya Gopalakrishnan,EEE1008,EEE,1
Sahil Qadir,EEE1009,EEE,1
Vihaan Chandra,EEE1010,EEE,1
Zoya Thakur,EEE1011,EEE,1
Uday Mehta,EEE1012,EEE,1
Samar Yadav,EEE1013,EEE,1
Ritul Uttam,EEE1014,EEE,1
Arnav Varghese,EEE1015,EEE,1
Ananya Sinha,EEE1016,EEE,1
Chaitra Sharma,EEE1017,EEE,1
Tanvi Mishra,EEE1018,EEE,1
Harsha Upadhyay,EEE1019,EEE,1
Pooja Sinha,EEE1020,EEE,1
Yug Chandra,EEE1021,EEE,1
Ishita Lohia,EEE1022,EEE,1
Janaki Singh,EEE1023,EEE,1
Shreya Ghosh,EEE1024,EEE,1
Karan Chopra,EEE1025,EEE,1
Heena Hegde,EEE1026,EEE,1
Veda Iyengar,EEE1027,EEE,1
Rudra Uttam,EEE1028,EEE,1
Chaitra Malhotra,EEE1029,EEE,1
Kiara Varghese,EEE1030,EEE,1
Om Yadav,EEE1031,EEE,1
Wasim Pandey,EEE1032,EEE,1
Ayaan Desai,EEE1033,EEE,1
Esha Hegde,EEE1034,EEE,1
Sneha Zaveri,EEE1035,EEE,1
Gopal Lohia,EEE1036,EEE,1
Dev Joshi,EEE1037,EEE,1
Mira Lal,EEE1038,EEE,1
Zeenat Reddy,EEE1039,EEE,1
Krishna Agarwal,EEE1040,EEE,1
Prithvi Iyengar,EEE1041,EEE,1
Sneha Ghosh,EEE1042,EEE,1
Latha Lohia,EEE1043,EEE,1
Vihaan Pillai,EEE1044,EEE,1
Gauri Gandhi,EEE1045,EEE,1
Kavya Dixit,EEE1046,EEE,1
Sneha Ojha,EEE1047,EEE,1
Ishita Wagh,EEE1048,EEE,1
Vikram Gopalakrishnan,EEE1049,EEE,1
Deepak Singh,EEE1050,EEE,1
Gautam Gupta,EEE1051,EEE,1
Mira Xavier,EEE1052,EEE,1
Sanya Gupta,EEE1053,EEE,1
Pari Joshi,EEE1054,EEE,1
Manav Wagh,EEE1055,EEE,1
Vineet Venkatesh,EEE1056,EEE,1
Ananya Sen,EEE1057,EEE,1
Ishita Patel,EEE1058,EEE,1
Gautam Rastogi,EEE1059,EEE,1
Pavan Yadav,EEE1060,EEE,1
Rudra Nambiar,EEE1061,EEE,1
Dev Gupta,EEE1062,EEE,1
Sanya Acharya,EEE1063,EEE,1
Jaya Sridhar,EEE1064,EEE,1
Om Xavier,EEE1065,EEE,1
Jaya Thakur,EEE1066,EEE,1
Arnav Xavier,EEE1067,EEE,1
Mira Fernandes,EEE1068,EEE,1
Kiara Singh,EEE1069,EEE,1
Arnav Rastogi,EEE1070,EEE,1
Komal Khan,EEE1071,EEE,1
Naina Lal,EEE1072,EEE,1
Bhavin Patel,EEE1073,EEE,1
Vani Zaveri,EEE1074,EEE,1
Sneha Devaraj,EEE1075,EEE,1
Om Acharya,EEE1076,EEE,1
Ira Pillai,EEE1077,EEE,1
Ojas Pillai,EEE1078,EEE,1
Rakesh Qadir,EEE1079,EEE,1
Chaitra Srivastava,EEE1080,EEE,1
Pranav Rastogi,EEE1081,EEE,1
Yamini Uttam,EEE1082,EEE,1
Latha Shetty,EEE1083,EEE,1
Tara Naidu,EEE1084,EEE,1
Pari Sridhar,EEE1085,EEE,1
Anika Shetty,EEE1086,EEE,1
Usha Patel,EEE1087,EEE,1
Meera Eapen,EEE1088,EEE,1
Mehul Ghosh,EEE1089,EEE,1
Ritul Hegde,EEE1090,EEE,1
Vikram Pandey,EEE1091,EEE,1
Jai Menon,EEE1092,EEE,1
Naina Patel,EEE1093,EEE,1
Bhavin Nambiar,EEE1094,EEE,1
Harsha Lohia,EEE1095,EEE,1
Irfan Mahajan,EEE1096,EEE,1
Avni Shetty,EEE1097,EEE,1
Arnav Ojha,EEE1098,EEE,1
Harsha Qureshi,EEE1099,EEE,1
Pranav Pandey,EEE1100,EEE,1
Sanya Ojha,CIV1001,CIV,1
Anish Xavier,CIV1002,CIV,1
Divya Gandhi,CIV1003,CIV,1
Nikhil Qadir,CIV1004,CIV,1
Yamini Pillai,CIV1005,CIV,1
Pari Gandhi,CIV1006,CIV,1
Ishan Nair,CIV1007,CIV,1
Pooja Yadav,CIV1008,CIV,1
Jai Iyer,CIV1009,CIV,1
Qadir Fernandes,CIV1010,CIV,1
Yash Hiremath,CIV1011,CIV,1
Wasim Khan,CIV1012,CIV,1
Shaurya Pandey,CIV1013,CIV,1
Rakesh Dutta,CIV1014,CIV,1
Arnav Pillai,CIV1015,CIV,1
Tejas Qadir,CIV1016,CIV,1
Samar Xavier,CIV1017,CIV,1
Heena Shetty,CIV1018,CIV,1
Krishna Saxena,CIV1019,CIV,1
Bhavin Zhao,CIV1020,CIV,1
Farah Hiremath,CIV1021,CIV,1
Avni Gandhi,CIV1022,CIV,1
Bharat Nambiar,CIV1023,CIV,1
Naina Mehta,CIV1024,CIV,1
Naina Yadav,CIV1025,CIV,1
Pavan Sridhar,CIV1026,CIV,1
Zoya Acharya,CIV1027,CIV,1
Pranav Iyengar,CIV1028,CIV,1
Kiara Devaraj,CIV1029,CIV,1
Prithvi Kashyap,CIV1030,CIV,1
Yash Kashyap,CIV1031,CIV,1
Ira Qureshi,CIV1032,CIV,1
Shaurya Venkatesh,CIV1033,CIV,1
Dev Chandra,CIV1034,CIV,1
Aarav Agarwal,CIV1035,CIV,1
Bharat Kashyap,CIV1036,CIV,1
Saanvi Dixit,CIV1037,CIV,1
Farhan Xavier,CIV1038,CIV,1
Divya Ghosh,CIV1039,CIV,1
Vineet Upadhyay,CIV1040,CIV,1
Rahul Upadhyay,CIV1041,CIV,1
Manav Lohia,CIV1042,CIV,1
Rudra Gopalakrishnan,CIV1043,CIV,1
Ojas Srivastava,CIV1044,CIV,1
Shreya Desai,CIV1045,CIV,1
Nandini Ghosh,CIV1046,CIV,1
Vineet Nambiar,CIV1047,CIV,1
Pari Patel,CIV1048,CIV,1
Rohan Varghese,CIV1049,CIV,1
Farah Nambiar,CIV1050,CIV,1
Rohan Yadav,CIV1051,CIV,1
Qadir Lal,CIV1052,CIV,1
Riya Verma,CIV1053,CIV,1
Pavan Joshi,CIV1054,CIV,1
Dhruv Eapen,CIV1055,CIV,1
Qadir Nambiar,CIV1056,CIV,1
Anika Basu,CIV1057,CIV,1
Irfan Kashyap,CIV1058,CIV,1
Aditi Khan,CIV1059,CIV,1
Samira Bose,CIV1060,CIV,1
Rahul Mishra,CIV1061,CIV,1
Vikram Yadav,CIV1062,CIV,1
Vihaan Eapen,CIV1063,CIV,1
Deepak Upadhyay,CIV1064,CIV,1
Bhavya Srivastava,CIV1065,CIV,1
Latha Patel,CIV1066,CIV,1
Farah Uttam,CIV1067,CIV,1
Mehul Patel,CIV1068,CIV,1
Vineet Bose,CIV1069,CIV,1
Yash Singh,CIV1070,CIV,1
Avni Fernandes,CIV1071,CIV,1
Isha Uttam,CIV1072,CIV,1
Zeenat Sen,CIV1073,CIV,1
Manav Desai,CIV1074,CIV,1
Jaya Devaraj,CIV1075,CIV,1
Karan Lohia,CIV1076,CIV,1
Sneha Srivastava,CIV1077,CIV,1
Ritul Iyer,CIV1078,CIV,1
Diya Zhao,CIV1079,CIV,1
Harsha Iyer,CIV1080,CIV,1
Dev Dutta,CIV1081,CIV,1
Gauri Shetty,CIV1082,CIV,1
Zoya Ghosh,CIV1083,CIV,1
Zoya Kapoor,CIV1084,CIV,1
Yamini Dixit,CIV1085,CIV,1
Aisha Sharma,CIV1086,CIV,1
Uday Kulkarni,CIV1087,CIV,1
Advait Qadir,CIV1088,CIV,1
Sneha Chopra,CIV1089,CIV,1
Qadir Iyer,CIV1090,CIV,1
Meera Yadav,CIV1091,CIV,1
Latha Basu,CIV1092,CIV,1
Vikram Sridhar,CIV1093,CIV,1
Dhruv Rao,CIV1094,CIV,1
Pooja Gandhi,CIV1095,CIV,1
Mira Joshi,CIV1096,CIV,1
Rohan Nambiar,CIV1097,CIV,1
Bhavya Kapoor,CIV1098,CIV,1
Pooja Basu,CIV1099,CIV,1
Shaurya Mahajan,CIV1100,CIV,1
Usha Dixit,MECH1001,MECH,1
Latha Gopalakrishnan,MECH1002,MECH,1
Gautam Jain,MECH1003,MECH,1
Rahul Menon,MECH1004,MECH,1
Zeenat Mahajan,MECH1005,MECH,1
Darsh Qadir,MECH1006,MECH,1
Mohan Dutta,MECH1007,MECH,1
Tushar Devaraj,MECH1008,MECH,1
Qadir Menon,MECH1009,MECH,1
Aditi Rao,MECH1010,MECH,1
Rudra Rao,MECH1011,MECH,1
Shaurya Jain,MECH1012,MECH,1
Kunal Naidu,MECH1013,MECH,1
Zara Zhao,MECH1014,MECH,1
Karan Venkatesh,MECH1015,MECH,1
Saanvi Naidu,MECH1016,MECH,1
Tara Rastogi,MECH1017,MECH,1
Naveen Desai,MECH1018,MECH,1
Advait Sridhar,MECH1019,MECH,1
Naina Xavier,MECH1020,MECH,1
Latha Venkatesh,MECH1021,MECH,1
Bharat Lohia,MECH1022,MECH,1
Charan Kapoor,MECH1023,MECH,1
Manav Xavier,MECH1024,MECH,1
Meera Sen,MECH1025,MECH,1
Bharat Gupta,MECH1026,MECH,1
Naina Fernandes,MECH1027,MECH,1
Chaitra Rastogi,MECH1028,MECH,1
Ishita Hiremath,MECH1029,MECH,1
Anish Chopra,MECH1030,MECH,1
Arnav Iyer,MECH1031,MECH,1
Farah Bhatt,MECH1032,MECH,1
Prithvi Zaveri,MECH1033,MECH,1
Ritul Dutta,MECH1034,MECH,1
Mira Naidu,MECH1035,MECH,1
Farhan Patel,MECH1036,MECH,1
Bhavin Chakraborty,MECH1037,MECH,1
Naina Qureshi,MECH1038,MECH,1
Deepak Sinha,MECH1039,MECH,1
Heena Eapen,MECH1040,MECH,1
Wasim Upadhyay,MECH1041,MECH,1
Samira Chopra,MECH1042,MECH,1
Naveen Singh,MECH1043,MECH,1
Pari Varghese,MECH1044,MECH,1
Qadir Gopalakrishnan,MECH1045,MECH,1
Ishita Chopra,MECH1046,MECH,1
Mehul Reddy,MECH1047,MECH,1
Qadir Ghosh,MECH1048,MECH,1
Sanya Devaraj,MECH1049,MECH,1
Jai Mehta,MECH1050,MECH,1
Nikhil Nair,MECH1051,MECH,1
Mohan Hiremath,MECH1052,MECH,1
Ishan Venkatesh,MECH1053,MECH,1
Dhruv Hegde,MECH1054,MECH,1
Gauri Acharya,MECH1055,MECH,1
Varun Hegde,MECH1056,MECH,1
Komal Rao,MECH1057,MECH,1
Ayaan Menon,MECH1058,MECH,1
Divya Acharya,MECH1059,MECH,1
Pari Menon,MECH1060,MECH,1
Om Venkatesh,MECH1061,MECH,1
Vineet Khan,MECH1062,MECH,1
Varun Ojha,MECH1063,MECH,1
Kunal Karnik,MECH1064,MECH,1
Vihaan Srivastava,MECH1065,MECH,1
Akash Devaraj,MECH1066,MECH,1
Yamini Gupta,MECH1067,MECH,1
Rakesh Kashyap,MECH1068,MECH,1
Pooja Malhotra,MECH1069,MECH,1
Tanvi Venkatesh,MECH1070,MECH,1
Zeenat Ojha,MECH1071,MECH,1
Aisha Sinha,MECH1072,MECH,1
Vihaan Iyengar,MECH1073,MECH,1
Naina Verma,MECH1074,MECH,1
Kavya Venkatesh,MECH1075,MECH,1
Yash Devaraj,MECH1076,MECH,1
Usha Sinha,MECH1077,MECH,1
Gautam Ghosh,MECH1078,MECH,1
Vikram Hegde,MECH1079,MECH,1
Amaya Karnik,MECH1080,MECH,1
Darsh Lohia,MECH1081,MECH,1
Pooja Iyengar,MECH1082,MECH,1
Esha Qadir,MECH1083,MECH,1
Manav Pandey,MECH1084,MECH,1
Zoya Chopra,MECH1085,MECH,1
Arnav Lal,MECH1086,MECH,1
Meera Nambiar,MECH1087,MECH,1
Shaurya Xavier,MECH1088,MECH,1
Saanvi Bose,MECH1089,MECH,1
Ishaan Rastogi,MECH1090,MECH,1
Zubin Xavier,MECH1091,MECH,1
Nisha Nair,MECH1092,MECH,1
Kiara Khan,MECH1093,MECH,1
Meera Reddy,MECH1094,MECH,1
Ishita Karnik,MECH1095,MECH,1
Yash Pandey,MECH1096,MECH,1
Dev Zaveri,MECH1097,MECH,1
Farhan Rastogi,MECH1098,MECH,1
Zoya Xavier,MECH1099,MECH,1
Om Agarwal,MECH1100,MECH,1
Mira Ghosh,CSD1001,CSD,1
Ojas Acharya,CSD1002,CSD,1
Om Shetty,CSD1003,CSD,1
Bhavya Kulkarni,CSD1004,CSD,1
Samar Sen,CSD1005,CSD,1
Krishna Patel,CSD1006,CSD,1
Meera Mehta,CSD1007,CSD,1
Wasim Desai,CSD1008,CSD,1
Wasim Mahajan,CSD1009,CSD,1
Yash Gandhi,CSD1010,CSD,1
Diya Eapen,CSD1011,CSD,1
Ishaan Mishra,CSD1012,CSD,1
Om Sinha,CSD1013,CSD,1
Pooja Jain,CSD1014,CSD,1
Karan Bose,CSD1015,CSD,1
Ishita Nair,CSD1016,CSD,1
Ananya Ojha,CSD1017,CSD,1
Esha Desai,CSD1018,CSD,1
Esha Dixit,CSD1019,CSD,1
Anish Hiremath,CSD1020,CSD,1
Charan Khan,CSD1021,CSD,1
Jai Agarwal,CSD1022,CSD,1
Tanvi Saxena,CSD1023,CSD,1
Vineet Chandra,CSD1024,CSD,1
Pranav Verma,CSD1025,CSD,1
Ishan Mishra,CSD1026,CSD,1
Ritul Wagh,CSD1027,CSD,1
Bhavin Karnik,CSD1028,CSD,1
Farah Gandhi,CSD1029,CSD,1
Yash Saxena,CSD1030,CSD,1
Komal Joshi,CSD1031,CSD,1
Varun Varghese,CSD1032,CSD,1
Zara Xavier,CSD1033,CSD,1
Janaki Shetty,CSD1034,CSD,1
Mohan Upadhyay,CSD1035,CSD,1
Varun Kashyap,CSD1036,CSD,1
Riya Hiremath,CSD1037,CSD,1
Zubin Iyengar,CSD1038,CSD,1
Yug Kulkarni,CSD1039,CSD,1
Yash Srivastava,CSD1040,CSD,1
Ojas Agarwal,CSD1041,CSD,1
Kavya Basu,CSD1042,CSD,1
Vani Acharya,CSD1043,CSD,1
Dev Karnik,CSD1044,CSD,1
Bharat Wagh,CSD1045,CSD,1
Aarav Nair,CSD1046,CSD,1
Arjun Qureshi,CSD1047,CSD,1
Wasim Bose,CSD1048,CSD,1
Zeenat Naidu,CSD1049,CSD,1
Ayaan Trivedi,CSD1050,CSD,1
Heena Zaveri,CSD1051,CSD,1
Nikhil Sen,CSD1052,CSD,1
Yash Mehta,CSD1053,CSD,1
Saanvi Rastogi,CSD1054,CSD,1
Ritul Basu,CSD1055,CSD,1
Mira Qureshi,CSD1056,CSD,1
Anika Srivastava,CSD1057,CSD,1
Vikram Qadir,CSD1058,CSD,1
Vikram Xavier,CSD1059,CSD,1
Om Shah,CSD1060,CSD,1
Chaitra Ghosh,CSD1061,CSD,1
Darsh Trivedi,CSD1062,CSD,1
Rahul Verma,CSD1063,CSD,1
Kavya Pandey,CSD1064,CSD,1
